Command: load bill-4.txt
	Loaded 50 records from bill-4.txt
Command: summarize March
	      March:	Total 7	Average Duration: 24.0000	Average Cost: 0.78
Command: average cost
		Average Cost: 0.99
Command: average duration
		Average Duration: 34.8200
Command: summarize
	    January:	Total 4	Average Duration: 36.7500	Average Cost: 1.13
	   February:	Total 4	Average Duration: 36.7500	Average Cost: 1.07
	      March:	Total 7	Average Duration: 24.0000	Average Cost: 0.78
	      April:	Total 3	Average Duration: 37.3333	Average Cost: 1.09
	        May:	Total 4	Average Duration: 22.5000	Average Cost: 0.72
	       June:	Total 8	Average Duration: 34.0000	Average Cost: 1.00
	       July:	Total 0	Average Duration: 0		Average Cost: 0
	     August:	Total 3	Average Duration: 47.6667	Average Cost: 1.11
	  September:	Total 3	Average Duration: 32.3333	Average Cost: 0.79
	    October:	Total 4	Average Duration: 45.0000	Average Cost: 1.42
	   November:	Total 4	Average Duration: 31.7500	Average Cost: 0.80
	   December:	Total 6	Average Duration: 43.0000	Average Cost: 1.09
	  Year 2021:	Total 50	Average Duration: 34.8200	Average Cost: 0.989800
Command: display
Susan Wilson
808 Pinehurst Ave
Oakland, OH 66427

Date		Time	Number		Drtn	Cost
-----------------------------------------------------
20210101	0006	4042369601	12	0.18
20210124	1146	3122476791	52	0.85
20210126	0320	2122312422	16	1.87
20210129	1034	2122438001	67	1.61
20210206	1723	3122387137	60	1.78
20210215	0424	4152446311	59	0.93
20210226	0924	4042612235	18	0.81
20210228	1735	3102556310	10	0.78
20210303	0916	4042235043	13	0.19
20210317	0648	4042512440	21	0.45
20210319	0446	4152471678	21	0.84
20210324	0939	4042146115	41	1.57
20210327	0723	2122413639	40	1.10
20210328	0143	3122441573	15	0.62
20210328	0232	3102268483	17	0.66
20210401	1251	3122528681	31	1.20
20210419	2026	2122374204	67	0.31
20210430	2002	4152511821	14	1.75
20210502	1754	3102436300	16	0.66
20210514	1128	3122307985	10	0.09
20210514	1714	3102359450	34	1.30
20210531	0305	2122597117	30	0.83
20210601	1440	3102553650	39	0.41
20210608	0110	4042438079	31	0.04
20210609	0706	3102361611	21	1.93
20210621	1007	2122589220	49	1.56
20210622	1025	3102349389	25	1.60
20210623	1140	3102339193	14	0.81
20210627	1808	3102513835	62	1.38
20210628	0438	4042382373	31	0.24
20210805	1404	2122154091	25	0.67
20210807	1625	2122177524	53	0.93
20210822	1827	4152446458	65	1.74
20210908	0024	2122572579	40	1.55
20210911	2207	3102302945	44	0.62
20210926	1746	4042149947	13	0.19
20211019	1959	4152271914	55	1.41
20211021	0506	4042333811	67	0.35
20211029	2122	2122433133	25	1.97
20211030	0632	3122342324	33	1.95
20211101	0100	4042234098	33	1.01
20211110	1548	3122155958	12	1.49
20211112	1858	3122162527	52	0.33
20211120	1354	3102607643	30	0.37
20211207	0922	4042611600	10	1.63
20211207	1326	4042206060	26	0.98
20211220	0554	4152596469	56	0.66
20211222	0830	3102242465	65	0.84
20211227	0833	2122495322	34	0.65
20211228	2120	4042459578	67	1.80
